star,parameter,unit,value,error_min,error_max,ref
,age_range,Gyr,,0.3,3,[Bonfils et al. 2012](https://ui.adsabs.harvard.edu/abs/2012A%26A...546A..27B/abstract)
,,,,,,
HD 219134,stellar_mass,Msun,0.696,0.078,-0.078,[Ligi et al. 2019](https://ui.adsabs.harvard.edu/abs/2019A%26A...631A..92L/abstract)
,bolometric_luminosity,Lsun,0.264,0.004,-0.004,[Ligi et al. 2019](https://ui.adsabs.harvard.edu/abs/2019A%26A...631A..92L/abstract)
,xray_luminosity,erg/cm^2/s,9.70E+26,1.57E+26,-1.57E+26,[Morales Calderon et al. 2024](https://ui.adsabs.harvard.edu/abs/2024arXiv240506577M/abstract)
,rotation_period,days,42.3,0.1,-0.1,[Motalebi et al. 2015](https://ui.adsabs.harvard.edu/abs/2015A%26A...584A..72M/abstract)
,rotation_period,days,22.8,0.03,-0.03,[Johnson et al. 2016](https://ui.adsabs.harvard.edu/abs/2016ApJ...821...74J/abstract)
,age_range,Gyr,11,2.2,-2.2,[Gillon et al. 2017](https://ui.adsabs.harvard.edu/abs/2017NatAs...1E..56G/abstract)
,age_range,Gyr,12.46,0.5,-0.5,[Takeda et al. 2007](https://ui.adsabs.harvard.edu/abs/2007ApJS..168..297T/abstract)
,,,,,,
HD 97658,stellar_mass,Msun,0.77,0.05,-0.05,[Van Grootel et al. 2014](https://ui.adsabs.harvard.edu/abs/2014ApJ...786....2V/abstract)
,bolometric_luminosity,Lsun,0.355,0.018,-0.018,[Van Grootel et al. 2014](https://ui.adsabs.harvard.edu/abs/2014ApJ...786....2V/abstract)
,xray_luminosity,erg/cm^2/s,1.04E+27,6.43E+25,-6.43E+25,[Morales Calderon et al. 2024](https://ui.adsabs.harvard.edu/abs/2024arXiv240506577M/abstract)
,rotation_period,days,34,2,-2,[Guo et al. 2020](https://ui.adsabs.harvard.edu/abs/2020AJ....159..239G/abstract)
,age_range,Gyr,,,,
,,,,,,
Kepler-138,stellar_mass,Msun,0.551,0.068,-0.068,[Almenara et al. 2018](https://ui.adsabs.harvard.edu/abs/2018MNRAS.478..460A/abstract)
,bolometric_luminosity,log(Lsun),0.056,0.004,-0.004,[Piaulet et al. 2023](https://ui.adsabs.harvard.edu/abs/2023NatAs...7..206P/abstract)
,xray_luminosity,erg/cm^2/s,2.73E+27,8.97E+26,-8.97E+26,[Morales Calderon et al. 2024](https://ui.adsabs.harvard.edu/abs/2024arXiv240506577M/abstract)
,rotation_period,days,19.34,,,[Mazeh et al. 2015](https://ui.adsabs.harvard.edu/abs/2015ApJ...801....3M/abstract)
,age_range,Gyr,,,,
,,,,,,
Kepler-18,stellar_mass,Msun,0.972,0.042,-0.042,[Cochran et al. 2011](https://ui.adsabs.harvard.edu/abs/2011ApJS..197....7C/abstract)
,bolometric_luminosity,log(Lsun),-0.031,0.035,-0.035,[Cochran et al. 2011](https://ui.adsabs.harvard.edu/abs/2011ApJS..197....7C/abstract)
,xray_luminosity,erg/cm^2/s,1.46E+31,5.57E+30,-5.57E+30,[Morales Calderon et al. 2024](https://ui.adsabs.harvard.edu/abs/2024arXiv240506577M/abstract)
,rotation_period,days,,,,
,age_range,Gyr,10,2.2,-2.2,[Cochran et al. 2011](https://ui.adsabs.harvard.edu/abs/2011ApJS..197....7C/abstract)
,,,,,,
Trappist-1,stellar_mass,Msun,0.08,0.007,-0.007,[Gillon et al. 2016](https://ui.adsabs.harvard.edu/abs/2016Natur.533..221G/abstract)
,bolometric_luminosity,Lsun,5.22E-04,1.90E-05,-1.90E-05,[Van Grootel et al. 2018](https://ui.adsabs.harvard.edu/abs/2018ApJ...853...30V/abstract)
,xray_luminosity,erg/cm^2/s,1.89E+26,4.85E+25,-4.85E+25,[Morales Calderon et al. 2024](https://ui.adsabs.harvard.edu/abs/2024arXiv240506577M/abstract)
,rotation_period,days,3.295,0.003,-0.003,[Vida et al. 2017](https://ui.adsabs.harvard.edu/abs/2017ApJ...841..124V/abstract)
,age_range,Gyr,7.6,2.2,-2.2,[Burgasser and Mamajek 2017](https://ui.adsabs.harvard.edu/abs/2017ApJ...845..110B/abstract)
